Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
garredi01,Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947","Southern Illinois University"
garrero01,Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950","Florida State University"
garrito01,Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966","University of Rhode Island"
garrijo01,John Garris,1984,1984,F,6-8,205,"June 6, 1959","Boston College"
garriki01,Kiwane Garris,1998,2000,G,6-2,183,"September 24, 1974","University of Illinois at Urbana-Champaign"
garripa01,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976","University of Notre Dame"
garviji01,Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950","Boston University"
gasolma01,Marc Gasol,2009,2014,C,7-1,265,"January 29, 1985",""
gasolpa01,Pau Gasol,2002,2014,F-C,7-0,227,"July 6, 1980",""
gatesfr01,Frank Gates,1950,1950,G,6-0,160,"April 12, 1920","Sam Houston State University"
gatlich01,Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967","Old Dominion University"
gattike01,Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964","Old Dominion University"
gayru01,Rudy Gay,2007,2014,F,6-8,230,"August 17, 1986","University of Connecticut"
gaydaed01,Ed Gayda,1951,1951,G-F,6-4,210,"May 11, 1927","Washington State University"
gazean01,Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965","Seton Hall University"
gearyre01,Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973","University of Arizona"
geeal01,Alonzo Gee,2010,2014,G,6-6,220,"May 29, 1987","University of Alabama"
geigema01,Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Georgia Institute of Technology"
gelabmi01,Mickael Gelabale,2007,2013,F,6-7,215,"May 22, 1983",""
georgde01,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977","Augsburg College"
georgja01,Jack George,1954,1961,G,6-2,190,"November 13, 1928","La Salle University"
georgpa01,Paul George,2011,2014,F,6-8,210,"May 2, 1990","California State University, Fresno"
georgta01,Tate George,1991,1995,G,6-5,190,"May 29, 1968","University of Connecticut"
gerargu01,Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953","University of Virginia"
gervide01,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963","University of Texas at San Antonio"
gervige01,George Gervin,1973,1986,G-F,6-7,180,"April 27, 1952","Eastern Michigan University"
getchgo01,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920","Temple University"
gianejo01,John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950","University of the Pacific"
gibbsdi01,Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948","University of Texas at El Paso"
gibsoda01,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986","University of Texas at Austin"
gibsode01,Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923","Western Kentucky University"
gibsoho01,Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921","Creighton University"
gibsome01,Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940","Western Carolina University"
gibsomi01,Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960","University of South Carolina Upstate"
gibsota01,Taj Gibson,2010,2014,F,6-9,225,"June 24, 1985","University of Southern California"
giddejr01,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","University of New Mexico"
gildetr01,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","Northwestern State University"
gilled01,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978","Weber State University"
gillke01,Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968","University of Illinois at Urbana-Champaign"
gillebe01,Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965","Georgetown University"
gilleja01,Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947","Montana State University"
gillege01,Gene Gillette,1947,1947,F,6-2,205,"","Saint Mary's College of California"
gilliar01,Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964","University of Nevada, Las Vegas"
gillihe01,Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946","Purdue University"
gilmoar01,Artis Gilmore,1972,1988,C,7-2,240,"September 21, 1949","Jacksonville University"
gilmowa01,Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947","Fort Valley State University"
gilmuch01,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922","University of Washington"
ginobma01,Manu Ginobili,2003,2014,G,6-6,210,"July 28, 1977",""
giricgo01,Gordan Giricek,2003,2008,G-F,6-6,210,"June 20, 1977",""
givenja01,Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956","University of Kentucky"
gladnmi01,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986","Alabama A&amp;M University"
glamage01,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918","University of North Carolina"
glassge01,Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","University of Mississippi"
glennmi01,Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955","Southern Illinois University"
glickno01,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927","Loyola Marymount University"
gloucge01,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",""
glovecl01,Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947","Western Kentucky University"
glovedi01,Dion Glover,2000,2005,G,6-5,228,"October 22, 1978","Georgia Institute of Technology"
glynian01,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",""
gminsmi01,Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959","Duke University"
goberru01,Rudy Gobert,2014,2014,F-C,7-1,220,"June 26, 1992",""
godfrda01,Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967","University of Evansville"
golato01,Tom Gola,1956,1966,G-F,6-6,205,"January 13, 1933","La Salle University"
goldfbe01,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913","George Washington University"
goldwan01,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971","University of Houston"
gomesry01,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982","Providence College"
gondrgl01,Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955","University of Nevada, Las Vegas"
gondrgr01,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963","Pepperdine University"
goodedr01,Drew Gooden,2003,2013,F,6-10,230,"September 24, 1981","University of Kansas"
goodrga01,Gail Goodrich,1966,1979,G,6-1,170,"April 23, 1943","University of California, Los Angeles"
goodrst01,Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976","Princeton University"
goodwar01,Archie Goodwin,2014,2014,G,6-5,198,"August 17, 1994","University of Kentucky"
goodwpo01,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",""
gordobe01,Ben Gordon,2005,2014,G,6-3,200,"April 4, 1983","University of Connecticut"
gordoer01,Eric Gordon,2009,2014,G,6-3,222,"December 25, 1988","Indiana University"
gordola01,Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962","University of Louisville"
gordopa01,Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927","University of Notre Dame"
gortama01,Marcin Gortat,2008,2014,C-F,6-11,240,"February 17, 1984",""
gottlle01,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",""
goudean01,Andrew Goudelock,2012,2013,G,6-3,200,"December 7, 1988","College of Charleston"
govange01,Gerald Govan,1968,1976,F-C,6-10,220,"January 2, 1942","Saint Mary of the Plains College"
govedba01,Bato Govedarica,1954,1954,G,5-11,185,"April 17, 1928","DePaul University"
grabojo01,Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",""
graceri01,Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","University of Oklahoma"
grahaca01,Calvin Graham,1968,1968,G,6-2,195,"June 7, 1944","Gannon University"
grahagr01,Greg Graham,1994,1998,G,6-4,174,"November 26, 1970","Indiana University"
grahajo01,Joey Graham,2006,2011,F,6-7,225,"June 11, 1982","Oklahoma State University"
grahama01,Mal Graham,1968,1969,G,6-1,185,"February 23, 1945","New York University"
grahaor01,Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965","Auburn University at Montgomery"
grahapa01,Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967","Ohio University"
grahast01,Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982","Oklahoma State University"
grandji01,Jim Grandholm,1991,1991,F,7-0,235,"October 4, 1960","University of South Florida"
grandro01,Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964","University of New Orleans"
grangda01,Danny Granger,2006,2014,F,6-8,225,"April 20, 1983","University of New Mexico"
grangst01,Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961","Villanova University"
grantbr01,Brian Grant,1995,2006,F,6-9,254,"March 5, 1972","Xavier University"
grantbu01,Bud Grant,1950,1951,F,6-3,195,"May 20, 1927","University of Minnesota"
grantga01,Gary Grant,1989,2001,G,6-3,185,"April 21, 1965","University of Michigan"
grantgr01,Greg Grant,1990,1996,G,5-7,140,"August 29, 1966","Trenton State University"
grantha01,Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965","University of Oklahoma"
grantho01,Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965","Clemson University"
grantjo01,Josh Grant,1994,1994,F,6-9,223,"August 7, 1967","University of Utah"
grantpa01,Paul Grant,1999,2004,C,7-0,245,"January 6, 1974","University of Wisconsin"
granttr01,Travis Grant,1973,1976,F,6-7,215,"January 1, 1950","Kentucky State University"
gratedo01,Don Grate,1950,1950,F-G,6-2,185,"August 27, 1923","Ohio State University"
gravebu01,Butch Graves,1985,1985,G,6-3,200,"January 5, 1962","Yale University"
grayaa01,Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984","University of Pittsburgh"
grayde01,Devin Gray,1997,2000,F,6-7,240,"May 31, 1972","Clemson University"
grayed01,Ed Gray,1998,1999,G,6-3,210,"September 27, 1975","University of California"
grayev01,Evric Gray,1997,1997,F,6-7,235,"December 13, 1969","University of Nevada, Las Vegas"
grayga01,Gary Gray,1968,1968,G,6-1,185,"February 23, 1945","Oklahoma City University"
grayle01,Leonard Gray,1975,1977,F,6-8,240,"December 19, 1951","California State University, Long Beach"
grayst01,Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963","University of California, Los Angeles"
graysy01,Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967","University of Memphis"
graywy01,Wyndol Gray,1947,1948,G-F,6-1,175,"March 20, 1922","Harvard University"
grayeje01,Jeff Grayer,1989,1998,F-G,6-5,200,"December 17, 1965","Iowa State University"
greacbo01,Bob Greacen,1970,1972,F,6-7,206,"September 15, 1947","Rutgers University"
greenac01,A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963","Oregon State University"
greenda02,Danny Green,2010,2014,F,6-6,210,"June 22, 1987","University of North Carolina"
greende01,Devin Green,2006,2006,G,6-7,210,"October 25, 1982","Hampton University"
greendr01,Draymond Green,2013,2014,F,6-7,230,"March 4, 1990","Michigan State University"
greenge01,Gerald Green,2006,2014,F,6-8,200,"January 26, 1986",""
greenje02,Jeff Green,2008,2014,F,6-9,235,"August 28, 1986","Georgetown University"
greenjo01,Johnny Green,1960,1973,F-C,6-5,200,"December 8, 1933","Michigan State University"
greenke01,Ken Green,1986,1986,F,6-8,215,"September 19, 1959","University of Texas-Pan American"
greenke02,Kenny Green,1986,1987,F,6-6,210,"October 11, 1964","Wake Forest University"
greenla01,Lamar Green,1970,1975,F-C,6-7,210,"March 22, 1947","Morehead State University"
greenli01,Litterial Green,1993,1999,G,6-1,185,"March 7, 1970","University of Georgia"
greenlu01,Luther Green,1970,1973,F,6-7,190,"November 13, 1946","Long Island University"
greenmi01,Mike Green,1974,1980,C-F,6-10,200,"August 6, 1951","Louisiana Tech University"
greenri01,Rickey Green,1978,1992,G,6-0,170,"August 18, 1954","University of Michigan"
greense01,Sean Green,1992,1994,F-G,6-5,210,"February 2, 1970","Iona College"
greensi01,Si Green,1957,1966,G-F,6-2,185,"August 20, 1933","Duquesne University"
greensi02,Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961","University of Nevada, Las Vegas"
greenst01,Steve Green,1976,1979,F,6-7,220,"October 4, 1953","Indiana University"
greenta01,Taurean Green,2008,2008,G,6-0,177,"November 28, 1986","University of Florida"
greento01,Tommie Green,1979,1979,G,6-2,185,"April 8, 1956","Southern University and A&amp;M College"
greenwi01,Willie Green,2004,2014,G,6-4,200,"July 28, 1981","University of Detroit Mercy"
greendo01,Donte Greene,2009,2012,F,6-11,226,"February 21, 1988","Syracuse University"
greenor01,Orien Greene,2006,2011,G,6-4,208,"February 4, 1982","University of Louisiana at Lafayette"
greenje01,Jerry Greenspan,1964,1965,F,6-5,195,"November 22, 1941","University of Maryland"
greenda01,Dave Greenwood,1980,1991,F-C,6-9,222,"May 27, 1957","University of California, Los Angeles"
greerha01,Hal Greer,1959,1973,G-F,6-2,175,"June 26, 1936","Marshall University"
greerly01,Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979","Temple University"
gregoga01,Gary Gregor,1969,1974,F-C,6-7,225,"August 13, 1945","University of South Carolina"
gregocl01,Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958","University of Wisconsin"
greigjo01,John Greig,1983,1983,F,6-7,215,"April 28, 1961","University of Oregon"
grekino01,Norm Grekin,1954,1954,F,6-5,180,"June 22, 1930","La Salle University"
greveke01,Kevin Grevey,1976,1985,G-F,6-5,210,"May 12, 1953","University of Kentucky"
greyde01,Dennis Grey,1969,1970,C-F,6-8,215,"August 26, 1947","California Western Uiversity"
griffad01,Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974","Seton Hall University"
griffbl01,Blake Griffin,2011,2014,F,6-10,251,"March 16, 1989","University of Oklahoma"
griffed01,Eddie Griffin,2002,2007,F,6-10,220,"May 30, 1982","Seton Hall University"
griffgr01,Greg Griffin,1978,1978,F,6-7,190,"September 6, 1952","Idaho State University"
griffpa01,Paul Griffin,1977,1983,F-C,6-9,205,"January 20, 1954","Western Michigan University"
griffta01,Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986","University of Oklahoma"
griffda01,Darrell Griffith,1981,1991,G,6-4,190,"June 16, 1958","University of Louisville"
grigsch01,Chuck Grigsby,1955,1955,G,6-5,190,"August 15, 1928","University of Dayton"
grimmde01,Derek Grimm,1998,1998,F,6-9,230,"August 3, 1974","University of Missouri"
grimswo01,Woody Grimshaw,1947,1947,G,6-1,185,"September 24, 1919","Brown University"
groatdi01,Dick Groat,1953,1953,G,5-11,180,"November 4, 1930","Duke University"
grossbo01,Bob Gross,1976,1983,F-G,6-6,200,"August 3, 1953","California State University, Long Beach"
grossmi01,Mike Grosso,1972,1972,C,6-9,230,"September 7, 1947","University of Louisville"
groteje01,Jerry Grote,1965,1965,G,6-4,215,"December 28, 1940","Loyola Marymount University"
grozaal01,Alex Groza,1950,1951,C,6-7,218,"October 7, 1926","University of Kentucky"
grubadi01,Dick Grubar,1970,1970,G,6-4,184,"July 26, 1947","University of North Carolina"
grundan01,Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979","North Carolina State University"
grunfer01,Ernie Grunfeld,1978,1986,G-F,6-6,210,"April 24, 1955","University of Tennessee"
guarige01,Gene Guarilia,1960,1963,F,6-5,220,"September 13, 1937","George Washington University"
gudmupe01,Petur Gudmundsson,1982,1989,C,7-2,260,"October 30, 1958","University of Washington"
gueriri01,Richie Guerin,1957,1970,G,6-4,195,"May 29, 1932","Iona College"
guglito01,Tom Gugliotta,1993,2005,F,6-10,240,"December 19, 1969","North Carolina State University"
guibean01,Andres Guibert,1994,1995,F-C,6-10,225,"October 28, 1968",""
guidija01,Jay Guidinger,1993,1994,C,6-10,255,"August 18, 1969","University of Minnesota Duluth"
gunthco01,Coulby Gunther,1947,1949,F,6-4,190,"February 5, 1923","Boston College"
gunthda01,Dave Gunther,1963,1963,F,6-7,190,"July 22, 1937","University of Iowa"
guokaal01,Al Guokas,1950,1950,F-G,6-5,200,"August 7, 1925","Saint Joseph's University"
guokama01,Matt Guokas,1947,1947,F,6-3,195,"November 11, 1915","Saint Joseph's University"
guokama02,Matt Guokas,1967,1976,G-F,6-5,175,"February 25, 1944","Saint Joseph's University"
guytoaj01,A.J. Guyton,2001,2003,G,6-1,180,"February 12, 1978","Indiana University"
