"   ","INSTANCE_NUMBER","SNAP_ID","SNAP_TIME","EVENT_NAME","WAITS","WAIT_TIME","AVGWAIT","PCT_DB_TIME","WAIT_CLASS"
"59","1","1946","8/30/2013 1:15:50 PM","db file sequential read","105","1","6","4.6","User I/O"
"60","1","1947","8/30/2013 1:45:50 PM","db file sequential read","76","0","5","2.7","User I/O"
"61","1","1947","8/30/2013 1:45:50 PM","direct path read","1","0","0","0","User I/O"
"62","1","1948","8/30/2013 2:15:50 PM","db file sequential read","85","0","5","3.5","User I/O"
"63","1","1948","8/30/2013 2:15:50 PM","direct path read","14","0","8","0.9","User I/O"
"64","1","1949","8/30/2013 2:45:50 PM","db file sequential read","75","0","6","3.4","User I/O"
"65","1","1949","8/30/2013 2:45:50 PM","direct path read","1","0","0","0","User I/O"
"66","1","1950","8/30/2013 3:15:50 PM","db file sequential read","201","1","4","5.9","User I/O"
"67","1","1950","8/30/2013 3:15:50 PM","direct path read","2","0","0","0","User I/O"
"68","1","1951","8/30/2013 3:45:50 PM","db file sequential read","174","1","7","9","User I/O"
"69","1","1951","8/30/2013 3:45:50 PM","direct path read","2","0","0","0","User I/O"
"70","1","1952","8/30/2013 4:15:50 PM","db file sequential read","69","0","5","2.6","User I/O"
"71","1","1953","8/30/2013 4:45:50 PM","db file sequential read","123","1","5","4.2","User I/O"
"72","1","1953","8/30/2013 4:45:50 PM","direct path read","4","0","2","0.1","User I/O"
"73","1","1954","8/30/2013 5:15:50 PM","db file scattered read","7","0","5","0.2","User I/O"
"74","1","1954","8/30/2013 5:15:50 PM","db file sequential read","123","1","5","4.2","User I/O"
"75","1","1954","8/30/2013 5:15:50 PM","direct path read","2","0","0","0","User I/O"
"76","1","1955","8/30/2013 5:45:50 PM","db file sequential read","34","0","4","1","User I/O"
"77","1","1955","8/30/2013 5:45:50 PM","direct path read","3","0","0","0","User I/O"
"78","1","1956","8/30/2013 6:15:50 PM","db file sequential read","40","0","4","1.5","User I/O"
"79","1","1956","8/30/2013 6:15:50 PM","direct path read","3","0","0","0","User I/O"
"80","1","1957","8/30/2013 6:45:50 PM","db file sequential read","37","0","4","1.3","User I/O"
"81","1","1957","8/30/2013 6:45:50 PM","direct path read","5","0","1","0.1","User I/O"
"82","1","1958","8/30/2013 7:15:50 PM","db file sequential read","49","0","4","1.7","User I/O"
"83","1","1958","8/30/2013 7:15:50 PM","direct path read","4","0","0","0","User I/O"
"84","1","1959","8/30/2013 7:45:50 PM","db file sequential read","51","0","4","1.7","User I/O"
"85","1","1959","8/30/2013 7:45:50 PM","direct path read","7","0","0","0","User I/O"
"86","1","1960","8/30/2013 8:15:50 PM","db file sequential read","39","0","4","1.5","User I/O"
"87","1","1961","8/30/2013 8:45:50 PM","db file sequential read","37","0","5","1.5","User I/O"
"88","1","1961","8/30/2013 8:45:50 PM","direct path read","2","0","0","0","User I/O"
"89","1","1962","8/30/2013 9:15:50 PM","direct path read","4","0","1","0","User I/O"
"90","1","1962","8/30/2013 9:15:50 PM","db file sequential read","28","0","5","1.1","User I/O"
"91","1","1963","8/30/2013 9:45:50 PM","db file sequential read","24","0","3","1.4","User I/O"
